,Member_number,Date,itemDescription,Transaction_id
4086,2092,04-09-2015,"['brown bread', 'tropical fruit', 'pasta', 'beverages', 'pip fruit', 'sausage', 'rolls/buns']",T01878
2819,1768,04-09-2015,"['root vegetables', 'sausage']",T01879
587,1160,04-09-2015,"['butter', 'chewing gum']",T01880
5240,2406,04-09-2015,"['whole milk', 'canned beer', 'other vegetables']",T01881
5612,2511,04-10-2014,"['cocoa drinks', 'bottled water', 'artif. sweetener', 'soda']",T01882
9508,3556,04-10-2014,"['curd', 'brown bread']",T01883
13162,4522,04-10-2014,"['canned beer', 'other vegetables']",T01884
905,1247,04-10-2014,"['frozen vegetables', 'other vegetables']",T01885
6855,2836,04-10-2014,"['whole milk', 'shopping bags']",T01886
13504,4613,04-10-2014,"['long life bakery product', 'rolls/buns', 'butter', 'newspapers']",T01887
8360,3246,04-10-2014,"['yogurt', 'yogurt']",T01888
853,1235,04-10-2014,"['condensed milk', 'other vegetables']",T01889
5917,2589,04-10-2014,"['grapes', 'shopping bags', 'artif. sweetener']",T01890
14845,4962,04-10-2014,"['condensed milk', 'chocolate']",T01891
8041,3158,04-10-2014,"['citrus fruit', 'bottled water']",T01892
6650,2781,04-10-2014,"['whole milk', 'newspapers']",T01893
575,1157,04-10-2014,"['UHT-milk', 'whole milk', 'napkins', 'tropical fruit']",T01894
6303,2692,04-10-2014,"['butter', 'sugar']",T01895
6525,2750,04-10-2014,"['domestic eggs', 'rolls/buns']",T01896
941,1260,04-10-2014,"['pip fruit', 'shopping bags']",T01897
10050,3697,04-10-2014,"['brown bread', 'whole milk']",T01898
8261,3217,04-10-2014,"['pork', 'whole milk']",T01899
14701,4925,04-10-2014,"['shopping bags', 'rolls/buns']",T01900
9551,3567,04-10-2015,"['tropical fruit', 'yogurt']",T01901
5204,2397,04-10-2015,"['newspapers', 'shopping bags']",T01902
12027,4224,04-10-2015,"['pastry', 'brown bread']",T01903
13941,4719,04-10-2015,"['chocolate', 'pasta']",T01904
10154,3728,04-10-2015,"['ice cream', 'berries']",T01905
2546,1696,04-10-2015,"['tropical fruit', 'mustard']",T01906
14460,4853,04-10-2015,"['whole milk', 'frankfurter']",T01907
206,1054,04-10-2015,"['margarine', 'citrus fruit', 'frankfurter']",T01908
10878,3916,04-10-2015,"['citrus fruit', 'whole milk']",T01909
1491,1410,04-10-2015,"['liquor', 'white bread', 'citrus fruit']",T01910
12788,4418,04-10-2015,"['rolls/buns', 'whipped/sour cream']",T01911
13573,4632,04-10-2015,"['soda', 'pork']",T01912
11470,4089,04-10-2015,"['rolls/buns', 'sausage']",T01913
9158,3470,04-10-2015,"['sweet spreads', 'pasta', 'bottled beer', 'soda', 'frozen meals']",T01914
5447,2461,04-10-2015,"['whole milk', 'tropical fruit', 'whole milk']",T01915
1536,1422,04-10-2015,"['whole milk', 'brown bread', 'pip fruit']",T01916
5158,2386,04-10-2015,"['soda', 'Instant food products', 'pork', 'curd']",T01917
9198,3481,04-10-2015,"['sausage', 'whole milk']",T01918
14920,4988,04-10-2015,"['specialty bar', 'beverages', 'curd', 'make up remover', 'canned beer', 'specialty chocolate', 'other vegetables']",T01919
4654,2250,04-10-2015,"['chicken', 'hard cheese', 'citrus fruit', 'other vegetables', 'margarine', 'soft cheese']",T01920
10977,3945,04-10-2015,"['onions', 'seasonal products']",T01921
4706,2262,04-10-2015,"['brandy', 'hygiene articles', 'other vegetables', 'tropical fruit']",T01922
1794,1490,04-10-2015,"['whole milk', 'detergent']",T01923
11553,4109,04-10-2015,"['white bread', 'canned beer', 'pip fruit']",T01924
322,1090,04-10-2015,"['beef', 'yogurt']",T01925
7133,2915,04-11-2014,"['flour', 'citrus fruit']",T01926
12531,4348,04-11-2014,"['rolls/buns', 'whipped/sour cream']",T01927
7014,2878,04-11-2014,"['whipped/sour cream', 'pastry']",T01928
10796,3897,04-11-2014,"['coffee', 'brown bread', 'canned beer']",T01929
11003,3952,04-11-2014,"['soda', 'beef']",T01930
2412,1655,04-11-2014,"['pip fruit', 'white wine', 'chocolate']",T01931
12848,4437,04-11-2014,"['specialty chocolate', 'beef']",T01932
13297,4556,04-11-2014,"['other vegetables', 'ham']",T01933
4043,2079,04-11-2014,"['soda', 'tropical fruit']",T01934
13285,4553,04-11-2014,"['other vegetables', 'yogurt', 'pot plants', 'salty snack']",T01935
11651,4132,04-11-2014,"['frozen fish', 'whole milk']",T01936
1793,1489,04-11-2014,"['sausage', 'spread cheese']",T01937
3699,1995,04-11-2014,"['other vegetables', 'white bread', 'fruit/vegetable juice']",T01938
7183,2928,04-11-2014,"['beef', 'brown bread', 'frozen fish']",T01939
9709,3603,04-11-2014,"['brown bread', 'whole milk']",T01940
9681,3596,04-11-2014,"['coffee', 'rolls/buns']",T01941
11027,3958,04-11-2015,"['rolls/buns', 'soda']",T01942
14786,4946,04-11-2015,"['roll products ', 'yogurt', 'hard cheese', 'coffee', 'soft cheese']",T01943
10661,3857,04-11-2015,"['other vegetables', 'light bulbs', 'whole milk', 'canned beer']",T01944
6297,2691,04-11-2015,"['other vegetables', 'bags']",T01945
13139,4513,04-11-2015,"['frozen fruits', 'dishes']",T01946
8186,3196,04-11-2015,"['tropical fruit', 'shopping bags', 'pip fruit']",T01947
11228,4017,04-11-2015,"['bottled beer', 'butter']",T01948
13799,4685,04-11-2015,"['yogurt', 'root vegetables']",T01949
4800,2289,04-11-2015,"['tropical fruit', 'bottled water']",T01950
13327,4564,04-11-2015,"['curd', 'ice cream']",T01951
2203,1604,04-11-2015,"['pip fruit', 'rum']",T01952
6295,2690,04-11-2015,"['cream cheese ', 'sugar']",T01953
14224,4793,04-11-2015,"['soda', 'sausage']",T01954
1868,1509,04-11-2015,"['yogurt', 'root vegetables', 'yogurt', 'semi-finished bread', 'chicken', 'hard cheese', 'UHT-milk', 'frozen potato products']",T01955
7145,2918,04-11-2015,"['napkins', 'grapes', 'bottled water']",T01956
6962,2865,04-11-2015,"['soda', 'pot plants']",T01957
11261,4025,04-11-2015,"['shopping bags', 'yogurt', 'soda', 'citrus fruit', 'pip fruit', 'dental care']",T01958
7500,3014,04-11-2015,"['whipped/sour cream', 'root vegetables', 'ham', 'margarine']",T01959
13377,4577,04-11-2015,"['domestic eggs', 'root vegetables']",T01960
9642,3589,04-11-2015,"['whole milk', 'yogurt']",T01961
7246,2946,04-11-2015,"['hygiene articles', 'chicken']",T01962
4704,2262,04-11-2015,"['soups', 'bottled water']",T01963
712,1195,04-11-2015,"['finished products', 'liquor']",T01964
8076,3167,04-11-2015,"['soda', 'hygiene articles']",T01965
7784,3090,04-11-2015,"['turkey', 'berries', 'root vegetables', 'salty snack', 'other vegetables']",T01966
4223,2133,04-12-2014,"['curd', 'sausage']",T01967
3011,1815,04-12-2014,"['liquor', 'semi-finished bread', 'pastry']",T01968
13127,4510,04-12-2014,"['other vegetables', 'butter']",T01969
486,1134,04-12-2014,"['oil', 'other vegetables']",T01970
8470,3275,04-12-2014,"['yogurt', 'frozen potato products']",T01971
12828,4432,04-12-2014,"['candy', 'sausage']",T01972
8028,3154,04-12-2014,"['other vegetables', 'bottled water']",T01973
1183,1327,04-12-2014,"['pip fruit', 'sugar']",T01974
13623,4645,04-12-2014,"['soda', 'white bread']",T01975
7023,2880,04-12-2014,"['soda', 'tropical fruit']",T01976
14012,4739,04-12-2014,"['soda', 'onions']",T01977
4122,2102,04-12-2014,"['pet care', 'root vegetables']",T01978
4756,2274,04-12-2014,"['curd', 'chicken']",T01979
9107,3459,04-12-2014,"['processed cheese', 'white bread']",T01980
14430,4846,04-12-2014,"['bottled water', 'pot plants']",T01981
14399,4837,04-12-2014,"['bottled water', 'bottled water', 'pork']",T01982
6618,2772,04-12-2015,"['bottled water', 'napkins', 'pastry']",T01983
4031,2076,04-12-2015,"['margarine', 'frankfurter']",T01984
2925,1793,04-12-2015,"['berries', 'misc. beverages']",T01985
14505,4864,04-12-2015,"['whole milk', 'pip fruit']",T01986
12998,4478,04-12-2015,"['bottled water', 'soda', 'seasonal products']",T01987
9997,3683,04-12-2015,"['pork', 'frozen meals']",T01988
12114,4249,04-12-2015,"['other vegetables', 'sausage']",T01989
2473,1674,04-12-2015,"['beverages', 'sausage']",T01990
883,1242,04-12-2015,"['dog food', 'bottled beer', 'bottled water', 'sausage']",T01991
7117,2910,04-12-2015,"['whole milk', 'whole milk', 'cat food', 'canned beer']",T01992
552,1150,04-12-2015,"['other vegetables', 'fruit/vegetable juice']",T01993
898,1245,04-12-2015,"['shopping bags', 'turkey']",T01994
7836,3102,04-12-2015,"['other vegetables', 'meat']",T01995
12083,4240,04-12-2015,"['other vegetables', 'dessert']",T01996
4786,2286,04-12-2015,"['citrus fruit', 'other vegetables']",T01997
5497,2476,04-12-2015,"['ketchup', 'whole milk']",T01998
6970,2868,04-12-2015,"['beef', 'yogurt']",T01999
9826,3639,05-01-2014,"['flower (seeds)', 'sweet spreads']",T02000
14341,4823,05-01-2014,"['UHT-milk', 'frozen meals']",T02001
14952,4997,05-01-2014,"['whole milk', 'canned beer']",T02002
4446,2193,05-01-2014,"['whole milk', 'bottled beer']",T02003
13468,4601,05-01-2014,"['yogurt', 'pot plants', 'cream cheese ']",T02004
4378,2174,05-01-2014,"['domestic eggs', 'bottled water', 'brown bread']",T02005
14751,4938,05-01-2014,"['meat', 'UHT-milk', 'shopping bags']",T02006
3904,2047,05-01-2014,"['cat food', 'tropical fruit']",T02007
10001,3684,05-01-2014,"['newspapers', 'rolls/buns', 'newspapers']",T02008
6892,2847,05-01-2014,"['processed cheese', 'rolls/buns']",T02009
3621,1969,05-01-2014,"['cat food', 'other vegetables', 'jam', 'fruit/vegetable juice']",T02010
6032,2618,05-01-2014,"['flower (seeds)', 'specialty chocolate', 'bottled water', 'whipped/sour cream']",T02011
7386,2982,05-01-2014,"['sugar', 'coffee']",T02012
12803,4426,05-01-2014,"['pip fruit', 'pastry', 'Instant food products']",T02013
12873,4442,05-01-2014,"['citrus fruit', 'baking powder']",T02014
6429,2725,05-01-2014,"['whole milk', 'baking powder']",T02015
4207,2129,05-01-2014,"['berries', 'coffee']",T02016
3311,1891,05-01-2014,"['hygiene articles', 'white bread']",T02017
11843,4182,05-01-2014,"['liver loaf', 'vinegar', 'whole milk']",T02018
4723,2269,05-01-2014,"['sliced cheese', 'hamburger meat']",T02019
1503,1415,05-01-2014,"['fruit/vegetable juice', 'sausage']",T02020
10498,3814,05-01-2014,"['red/blush wine', 'bottled water']",T02021
4614,2238,05-01-2014,"['pastry', 'whole milk', 'curd']",T02022
8995,3425,05-01-2014,"['soda', 'citrus fruit']",T02023
5594,2507,05-01-2015,"['canned beer', 'bottled water', 'long life bakery product']",T02024
13488,4608,05-01-2015,"['fruit/vegetable juice', 'canned beer', 'whole milk', 'hamburger meat']",T02025
13853,4695,05-01-2015,"['yogurt', 'soda', 'shopping bags', 'oil', 'root vegetables', 'shopping bags']",T02026
11414,4075,05-01-2015,"['bottled water', 'turkey']",T02027
1967,1536,05-01-2015,"['canned beer', 'yogurt', 'frankfurter', 'pastry']",T02028
12477,4335,05-01-2015,"['pot plants', 'other vegetables']",T02029
7728,3077,05-01-2015,"['chicken', 'whole milk', 'vinegar', 'shopping bags']",T02030
4755,2274,05-01-2015,"['rolls/buns', 'citrus fruit']",T02031
7610,3044,05-01-2015,"['bottled water', 'brown bread', 'sausage']",T02032
8030,3154,05-01-2015,"['shopping bags', 'rolls/buns']",T02033
7396,2985,05-01-2015,"['tropical fruit', 'soda', 'soda', 'chicken']",T02034
13589,4636,05-01-2015,"['yogurt', 'sauces', 'specialty chocolate']",T02035
5781,2552,05-01-2015,"['whole milk', 'tropical fruit', 'chocolate']",T02036
12437,4324,05-01-2015,"['tropical fruit', 'whole milk', 'sweet spreads', 'white wine', 'whole milk', 'pastry', 'sausage', 'sausage']",T02037
4264,2144,05-01-2015,"['other vegetables', 'onions']",T02038
7001,2874,05-01-2015,"['ice cream', 'sausage', 'hygiene articles']",T02039
7608,3043,05-01-2015,"['soda', 'beef']",T02040
2883,1783,05-01-2015,"['other vegetables', 'pip fruit']",T02041
4863,2305,05-01-2015,"['canned beer', 'cream cheese ']",T02042
5572,2500,05-01-2015,"['onions', 'grapes']",T02043
11362,4059,05-01-2015,"['frankfurter', 'whole milk']",T02044
6166,2655,05-01-2015,"['sausage', 'shopping bags', 'pastry']",T02045
9185,3476,05-02-2014,"['frozen meals', 'chocolate marshmallow', 'rolls/buns']",T02046
1388,1381,05-02-2014,"['rolls/buns', 'coffee', 'other vegetables']",T02047
1704,1468,05-02-2014,"['onions', 'seasonal products', 'shopping bags']",T02048
4358,2169,05-02-2014,"['citrus fruit', 'long life bakery product']",T02049
4335,2164,05-02-2014,"['whole milk', 'ice cream']",T02050
5423,2453,05-02-2014,"['newspapers', 'rolls/buns']",T02051
3982,2066,05-02-2014,"['pickled vegetables', 'flour', 'frozen vegetables']",T02052
8557,3298,05-02-2014,"['whole milk', 'margarine']",T02053
4916,2320,05-02-2014,"['cream cheese ', 'whole milk']",T02054
12697,4393,05-02-2014,"['whole milk', 'coffee']",T02055
3791,2018,05-02-2014,"['tropical fruit', 'rolls/buns']",T02056
11824,4177,05-02-2014,"['yogurt', 'fruit/vegetable juice', 'beef']",T02057
4802,2289,05-02-2014,"['red/blush wine', 'shopping bags', 'berries']",T02058
8585,3306,05-02-2014,"['dog food', 'root vegetables']",T02059
3730,2001,05-02-2014,"['yogurt', 'shopping bags', 'root vegetables', 'chocolate']",T02060
13622,4645,05-02-2014,"['waffles', 'oil']",T02061
9782,3623,05-02-2015,"['brown bread', 'beef']",T02062
8105,3176,05-02-2015,"['red/blush wine', 'pork']",T02063
2468,1672,05-02-2015,"['pip fruit', 'brandy']",T02064
2176,1597,05-02-2015,"['whole milk', 'UHT-milk']",T02065
7916,3122,05-02-2015,"['sausage', 'bottled water', 'beverages', 'white bread']",T02066
11544,4107,05-02-2015,"['domestic eggs', 'tropical fruit', 'frozen fish', 'mustard']",T02067
2309,1628,05-02-2015,"['yogurt', 'chicken']",T02068
11990,4217,05-02-2015,"['bottled water', 'yogurt', 'bottled water', 'sausage']",T02069
7635,3049,05-02-2015,"['yogurt', 'beef']",T02070
3527,1945,05-02-2015,"['other vegetables', 'curd', 'tropical fruit', 'bottled water']",T02071
8964,3414,05-02-2015,"['other vegetables', 'liquor', 'bottled beer']",T02072
7326,2964,05-02-2015,"['frankfurter', 'hard cheese']",T02073
3807,2022,05-02-2015,"['whole milk', 'rolls/buns', 'hard cheese', 'fruit/vegetable juice', 'frankfurter']",T02074
4686,2257,05-02-2015,"['whole milk', 'herbs']",T02075
11536,4105,05-02-2015,"['pork', 'whipped/sour cream']",T02076
2317,1631,05-02-2015,"['domestic eggs', 'mayonnaise', 'coffee']",T02077
10030,3691,05-02-2015,"['berries', 'butter', 'canned beer', 'baking powder']",T02078
1304,1360,05-02-2015,"['root vegetables', 'grapes', 'dishes', 'white bread']",T02079
11735,4153,05-02-2015,"['liquor', 'hard cheese', 'brown bread', 'other vegetables']",T02080
6298,2691,05-02-2015,"['pip fruit', 'citrus fruit']",T02081
11239,4019,05-02-2015,"['meat', 'pastry']",T02082
7900,3119,05-02-2015,"['sausage', 'chicken']",T02083
2915,1790,05-02-2015,"['pork', 'other vegetables']",T02084
13718,4667,05-03-2014,"['white wine', 'canned beer', 'chocolate']",T02085
10472,3808,05-03-2014,"['other vegetables', 'UHT-milk']",T02086
761,1209,05-03-2014,"['yogurt', 'shopping bags']",T02087
212,1057,05-03-2014,"['pickled vegetables', 'salty snack']",T02088
5506,2479,05-03-2014,"['bottled water', 'frozen meals']",T02089
10753,3883,05-03-2014,"['UHT-milk', 'sweet spreads']",T02090
1726,1475,05-03-2014,"['kitchen towels', 'pastry']",T02091
451,1124,05-03-2014,"['hygiene articles', 'bottled beer']",T02092
4690,2258,05-03-2014,"['yogurt', 'frozen meals']",T02093
7077,2900,05-03-2014,"['bottled beer', 'sausage']",T02094
39,1010,05-03-2014,"['coffee', 'UHT-milk', 'pip fruit']",T02095
14612,4896,05-03-2014,"['whipped/sour cream', 'sweet spreads', 'root vegetables', 'other vegetables']",T02096
9007,3428,05-03-2014,"['curd', 'other vegetables']",T02097
6401,2716,05-03-2014,"['dental care', 'dessert']",T02098
2225,1609,05-03-2014,"['fruit/vegetable juice', 'whole milk']",T02099
7672,3059,05-03-2014,"['beverages', 'sausage']",T02100
1571,1431,05-03-2015,"['other vegetables', 'whole milk']",T02101
7877,3113,05-03-2015,"['coffee', 'domestic eggs']",T02102
10851,3911,05-03-2015,"['brown bread', 'specialty cheese', 'margarine']",T02103
561,1152,05-03-2015,"['rolls/buns', 'whole milk']",T02104
9403,3529,05-03-2015,"['pip fruit', 'pork']",T02105
9773,3621,05-03-2015,"['soda', 'other vegetables']",T02106
6673,2787,05-03-2015,"['brown bread', 'bottled water', 'sausage', 'rolls/buns']",T02107
9445,3540,05-03-2015,"['whole milk', 'bottled water', 'pip fruit']",T02108
245,1067,05-03-2015,"['tropical fruit', 'whole milk']",T02109
11469,4088,05-03-2015,"['detergent', 'yogurt', 'chocolate marshmallow']",T02110
14080,4753,05-03-2015,"['bottled beer', 'sugar', 'seasonal products', 'soups']",T02111
10673,3862,05-03-2015,"['yogurt', 'butter', 'condensed milk']",T02112
2237,1612,05-03-2015,"['canned beer', 'rolls/buns', 'softener']",T02113
1065,1293,05-03-2015,"['pip fruit', 'tropical fruit', 'hard cheese', 'dessert', 'specialty fat']",T02114
10868,3915,05-03-2015,"['pork', 'tropical fruit', 'pip fruit', 'brown bread']",T02115
5728,2540,05-03-2015,"['rolls/buns', 'sausage']",T02116
1929,1524,05-03-2015,"['soda', 'tropical fruit']",T02117
11077,3969,05-03-2015,"['rolls/buns', 'root vegetables']",T02118
8784,3361,05-03-2015,"['pastry', 'tropical fruit']",T02119
9990,3682,05-03-2015,"['canned beer', 'whole milk', 'chocolate', 'frozen fish', 'soda', 'ready soups']",T02120
11045,3961,05-03-2015,"['finished products', 'sausage']",T02121
10236,3748,05-03-2015,"['pet care', 'spread cheese']",T02122
11097,3974,05-03-2015,"['sliced cheese', 'frankfurter']",T02123
10684,3863,05-04-2014,"['bottled water', 'beverages']",T02124
2647,1726,05-04-2014,"['root vegetables', 'whole milk']",T02125
5139,2380,05-04-2014,"['pastry', 'specialty chocolate']",T02126
10048,3696,05-04-2014,"['roll products ', 'frozen vegetables', 'citrus fruit']",T02127
3897,2045,05-04-2014,"['whole milk', 'pickled vegetables']",T02128
107,1028,05-04-2014,"['sugar', 'rolls/buns']",T02129
9377,3523,05-04-2014,"['whisky', 'brown bread', 'pastry']",T02130
10229,3746,05-04-2014,"['spread cheese', 'chicken']",T02131
462,1127,05-04-2014,"['citrus fruit', 'soda']",T02132
3844,2033,05-04-2014,"['sweet spreads', 'yogurt', 'pot plants', 'canned beer']",T02133
2790,1761,05-04-2014,"['shopping bags', 'shopping bags']",T02134
594,1162,05-04-2014,"['coffee', 'misc. beverages']",T02135
4403,2181,05-04-2014,"['bottled water', 'soda']",T02136
2100,1575,05-04-2014,"['whole milk', 'dessert']",T02137
8970,3416,05-04-2014,"['bottled beer', 'canned vegetables', 'butter milk', 'rice']",T02138
5076,2362,05-04-2014,"['onions', 'specialty bar']",T02139
3286,1887,05-04-2014,"['fruit/vegetable juice', 'rolls/buns', 'whole milk', 'frozen vegetables']",T02140
11921,4199,05-04-2014,"['root vegetables', 'curd', 'specialty cheese']",T02141
3989,2067,05-04-2014,"['yogurt', 'beverages', 'bottled water']",T02142
11915,4197,05-04-2014,"['coffee', 'long life bakery product']",T02143
1452,1399,05-04-2014,"['softener', 'condensed milk', 'other vegetables']",T02144
3592,1962,05-04-2015,"['sausage', 'rolls/buns', 'hygiene articles', 'tropical fruit', 'frozen meals', 'other vegetables']",T02145
14171,4780,05-04-2015,"['frankfurter', 'other vegetables']",T02146
11645,4130,05-04-2015,"['beef', 'whipped/sour cream']",T02147
14026,4742,05-04-2015,"['oil', 'citrus fruit']",T02148
12337,4302,05-04-2015,"['other vegetables', 'napkins', 'newspapers']",T02149
11578,4114,05-04-2015,"['fruit/vegetable juice', 'canned beer']",T02150
13125,4510,05-04-2015,"['specialty chocolate', 'tropical fruit']",T02151
9716,3605,05-04-2015,"['soda', 'sausage', 'rolls/buns']",T02152
3233,1872,05-04-2015,"['whole milk', 'whole milk', 'fruit/vegetable juice', 'tropical fruit']",T02153
13303,4558,05-04-2015,"['tropical fruit', 'whipped/sour cream']",T02154
8538,3294,05-04-2015,"['chocolate', 'root vegetables']",T02155
8432,3264,05-04-2015,"['margarine', 'whole milk']",T02156
3963,2061,05-04-2015,"['whole milk', 'misc. beverages']",T02157
13348,4571,05-04-2015,"['napkins', 'citrus fruit']",T02158
2514,1686,05-05-2014,"['root vegetables', 'pork']",T02159
2575,1705,05-05-2014,"['sauces', 'rolls/buns']",T02160
13046,4493,05-05-2014,"['other vegetables', 'whole milk']",T02161
7995,3142,05-05-2014,"['rolls/buns', 'butter']",T02162
6460,2733,05-05-2014,"['whole milk', 'bottled water']",T02163
12007,4220,05-05-2014,"['soft cheese', 'rolls/buns', 'rolls/buns']",T02164
2005,1550,05-05-2014,"['cereals', 'pork']",T02165
6910,2851,05-05-2014,"['salad dressing', 'red/blush wine', 'specialty chocolate', 'herbs']",T02166
6601,2768,05-05-2014,"['pastry', 'baking powder']",T02167
2564,1702,05-05-2014,"['decalcifier', 'pastry', 'whipped/sour cream']",T02168
6124,2644,05-05-2014,"['pet care', 'misc. beverages']",T02169
14512,4867,05-05-2014,"['frozen fish', 'newspapers', 'berries']",T02170
3858,2037,05-05-2014,"['citrus fruit', 'curd', 'napkins']",T02171
11297,4037,05-05-2014,"['oil', 'beef', 'tea']",T02172
1342,1369,05-05-2014,"['spread cheese', 'whole milk']",T02173
1755,1480,05-05-2014,"['shopping bags', 'detergent']",T02174
2392,1652,05-05-2014,"['semi-finished bread', 'newspapers', 'yogurt']",T02175
629,1171,05-05-2015,"['onions', 'bottled water']",T02176
6364,2707,05-05-2015,"['chicken', 'whole milk']",T02177
2458,1668,05-05-2015,"['pastry', 'rolls/buns', 'frozen meals', 'pip fruit', 'chicken']",T02178
8135,3182,05-05-2015,"['sweet spreads', 'rice', 'soda']",T02179
8185,3196,05-05-2015,"['soda', 'whole milk']",T02180
10191,3737,05-05-2015,"['flower (seeds)', 'yogurt', 'pudding powder', 'whole milk', 'pastry', 'pot plants']",T02181
1231,1339,05-05-2015,"['sausage', 'whole milk']",T02182
7694,3066,05-05-2015,"['bottled water', 'other vegetables']",T02183
12867,4441,05-05-2015,"['grapes', 'soda']",T02184
11661,4134,05-05-2015,"['packaged fruit/vegetables', 'pip fruit']",T02185
5495,2476,05-05-2015,"['citrus fruit', 'root vegetables']",T02186
11376,4065,05-05-2015,"['canned beer', 'shopping bags']",T02187
5036,2352,05-05-2015,"['sausage', 'pastry']",T02188
10669,3860,05-05-2015,"['specialty cheese', 'chewing gum', 'whole milk', 'frozen vegetables', 'bottled beer']",T02189
9637,3588,05-05-2015,"['dog food', 'pip fruit', 'roll products ', 'ketchup', 'citrus fruit', 'seasonal products', 'hard cheese']",T02190
7424,2993,05-05-2015,"['napkins', 'long life bakery product']",T02191
6491,2743,05-05-2015,"['yogurt', 'dog food', 'beef']",T02192
5554,2494,05-05-2015,"['napkins', 'canned fish', 'soft cheese', 'newspapers', 'soft cheese', 'canned beer', 'pip fruit', 'semi-finished bread']",T02193
11820,4176,05-05-2015,"['semi-finished bread', 'flour']",T02194
6760,2808,05-05-2015,"['root vegetables', 'canned beer']",T02195
8001,3144,05-06-2014,"['pastry', 'shopping bags', 'other vegetables']",T02196
259,1073,05-06-2014,"['domestic eggs', 'bottled water', 'yogurt']",T02197
4742,2272,05-06-2014,"['napkins', 'whole milk']",T02198
14545,4875,05-06-2014,"['pip fruit', 'chocolate']",T02199
8580,3306,05-06-2014,"['canned beer', 'whole milk']",T02200
5058,2357,05-06-2014,"['whipped/sour cream', 'whipped/sour cream', 'frozen vegetables', 'pip fruit']",T02201
1626,1447,05-06-2014,"['fruit/vegetable juice', 'tropical fruit', 'other vegetables']",T02202
533,1145,05-06-2014,"['other vegetables', 'brown bread']",T02203
9004,3427,05-06-2014,"['yogurt', 'meat']",T02204
5573,2501,05-06-2014,"['pork', 'other vegetables']",T02205
6169,2656,05-06-2014,"['yogurt', 'bottled water']",T02206
5191,2394,05-06-2014,"['curd', 'whole milk']",T02207
3622,1970,05-06-2014,"['white bread', 'brown bread', 'whole milk']",T02208
3042,1822,05-06-2014,"['pasta', 'citrus fruit', 'candy', 'soda']",T02209
2764,1753,05-06-2014,"['cream cheese ', 'fruit/vegetable juice']",T02210
7380,2981,05-06-2014,"['canned beer', 'fruit/vegetable juice']",T02211
9559,3570,05-06-2014,"['cake bar', 'beef', 'butter']",T02212
619,1169,05-06-2014,"['napkins', 'cleaner']",T02213
11612,4122,05-06-2015,"['meat', 'chocolate']",T02214
9738,3613,05-06-2015,"['roll products ', 'brown bread', 'whole milk', 'root vegetables']",T02215
8096,3175,05-06-2015,"['zwieback', 'other vegetables', 'meat']",T02216
3265,1881,05-06-2015,"['root vegetables', 'domestic eggs']",T02217
4952,2331,05-06-2015,"['citrus fruit', 'liquor']",T02218
7282,2955,05-06-2015,"['canned beer', 'white bread', 'soda']",T02219
8730,3347,05-06-2015,"['canned beer', 'sausage', 'whipped/sour cream']",T02220
4455,2194,05-06-2015,"['salty snack', 'red/blush wine', 'canned beer']",T02221
7368,2978,05-06-2015,"['chicken', 'condensed milk', 'other vegetables', 'whipped/sour cream', 'ham']",T02222
5299,2426,05-06-2015,"['cream cheese ', 'tropical fruit', 'fruit/vegetable juice', 'berries']",T02223
7278,2954,05-06-2015,"['brown bread', 'sausage']",T02224
14410,4840,05-06-2015,"['whole milk', 'whipped/sour cream']",T02225
2037,1561,05-06-2015,"['flower (seeds)', 'chewing gum', 'dog food', 'whole milk', 'dish cleaner', 'flour']",T02226
9216,3484,05-06-2015,"['specialty bar', 'candy']",T02227
7566,3032,05-06-2015,"['UHT-milk', 'bottled water']",T02228
13447,4596,05-06-2015,"['sausage', 'bottled water']",T02229
2057,1566,05-06-2015,"['shopping bags', 'whole milk', 'yogurt']",T02230
4629,2242,05-06-2015,"['rolls/buns', 'frozen vegetables', 'butter', 'whole milk']",T02231
11375,4064,05-06-2015,"['frankfurter', 'hamburger meat']",T02232
4186,2122,05-07-2014,"['hamburger meat', 'pastry', 'pet care']",T02233
3310,1891,05-07-2014,"['whole milk', 'bottled water', 'candy', 'UHT-milk']",T02234
12364,4307,05-07-2014,"['yogurt', 'shopping bags']",T02235
31,1006,05-07-2014,"['softener', 'rolls/buns', 'bottled water']",T02236
2326,1633,05-07-2014,"['shopping bags', 'ready soups']",T02237
6743,2804,05-07-2014,"['brown bread', 'rolls/buns']",T02238
1072,1294,05-07-2014,"['hygiene articles', 'semi-finished bread']",T02239
11029,3959,05-07-2014,"['hamburger meat', 'whipped/sour cream']",T02240
7192,2931,05-07-2014,"['seasonal products', 'pip fruit', 'domestic eggs']",T02241
13539,4623,05-07-2014,"['rolls/buns', 'salty snack']",T02242
2427,1659,05-07-2014,"['yogurt', 'dishes']",T02243
1628,1448,05-07-2014,"['frozen vegetables', 'salty snack']",T02244
10138,3722,05-07-2014,"['butter', 'semi-finished bread']",T02245
4222,2133,05-07-2014,"['pork', 'processed cheese']",T02246
14086,4756,05-07-2014,"['whole milk', 'beef']",T02247
10140,3724,05-07-2014,"['white wine', 'sweet spreads']",T02248
13667,4656,05-07-2014,"['liquor', 'vinegar']",T02249
9186,3476,05-07-2014,"['fruit/vegetable juice', 'white bread']",T02250
14824,4956,05-07-2014,"['bottled water', 'mayonnaise', 'salt']",T02251
